species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,year_diff,svl_diff,earliestSighting,liznumber
j,5-7-12-20,2000-03-19,f,68.0,75.0,33.0,10.5,r59c,slab,,recap,,shed since last recapture  ,nan,2000.0,33.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.1029411764705883,0.15441176470588236,0,0.0,2000-03-19,417
j,3-15-20,2000-03-19,f,65.0,88.0,0.0,10.0,r60c,Rs opp 2tripleR,,recap,,shed since last recapture  ,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.353846153846154,0.15384615384615385,0,0.0,2000-03-19,260
j,3-15-16,2000-03-19,f,72.0,89.0,9.0,11.0,r61c,wall rt side 5m ^ 2tripleR,,recap,,shed since last recapture  ,nan,2000.0,9.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.2361111111111112,0.1527777777777778,0,0.0,2000-03-19,259
j,4-13-14-16,2000-03-19,m,87.0,99.0,25.0,16.8,r62c,pyramid R,,recap,,shed since last recapture  ,nan,2000.0,25.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.1379310344827587,0.19310344827586207,0,0.0,2000-03-19,795
j,6-14-19,2000-03-19,f,55.0,78.0,0.0,5.3,r63c,pyramid R,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4181818181818182,0.09636363636363636,0,0.0,2000-03-19,467
j,6-14-20,2000-03-19,f,60.0,81.0,0.0,8.3,r64c,pyramid R or pool?,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.35,0.13833333333333334,0,0.0,2000-03-19,469
j,6-15-29,2000-03-19,m,58.0,81.0,0.0,6.0,r65c,oakR,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.396551724137931,0.10344827586206896,0,0.0,2000-03-19,929
j,5-7-13-20,2000-03-19,f,70.0,96.0,0.0,10.0,r66c, 3m v chute,,recap,,shed since last recapture  ,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3714285714285714,0.14285714285714285,0,0.0,2000-03-19,422
j,6-15-20,2000-03-19,f,53.0,75.0,0.0,4.6,r67c,Rs opp 2tripleR,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4150943396226414,0.08679245283018867,0,0.0,2000-03-19,476
j,10-15-18,2000-03-19,f,46.0,53.0,23.0,3.2,r68c,bottom S surve,,recap,,shed since last recapture  ,nan,2000.0,23.0,autotomized,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.1521739130434783,0.06956521739130435,0,0.0,2000-03-19,119
j,5-7-12-19,2000-03-19,m,86.0,115.0,0.0,15.0,r69c,slab,,recap,,shed since last recapture  ,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3372093023255813,0.1744186046511628,0,0.0,2000-03-19,868
j,10-14-19,2000-03-19,f,58.0,84.0,0.0,6.5,r70c,sb at slab,,new,,,nan,2000.0,0.0,intact,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4482758620689655,0.11206896551724138,0,0.0,2000-03-19,115
j,5-15-19,2000-03-19,m,87.0,118.0,0.0,14.8,r71c,root xing,,recap,,shed since last recapture  ,nan,2000.0,0.0,intact,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3563218390804597,0.17011494252873563,0,0.0,2000-03-19,858
