,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
6865,j,3-9-12-16,2005-07-03,m,67.0,103.0,0.0,10.0,w1c,sb R middle 6m^trail,-40,new,painted,,05-01,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.537313432835821,0.14925373134328354,j3-9-12-16m,4.0,113.0,,,,,,,
7284,j,3-9-12-16,2007-07-16,f,39.0,53.0,0.0,1.8,yvc,2m ^ 1 falls,2,new,yes,,07-86,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.358974358974359,0.04615384615384616,j3-9-12-16f,4.0,107.0,,,,,,,
6873,j,3-9-12-20,2005-07-03,f,73.0,96.0,0.0,11.3,w11c,wall v slide,315,new,painted,Bss; Tss; mites in pockets,05-06,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3150684931506849,0.1547945205479452,j3-9-12-20f,1.0,1155.0,,,,,,,
7288,j,3-9-12-20,2007-07-16,m,41.0,56.0,0.0,1.9,yvab,right SB opp stacked wall @ 70,70,new,yes,,07-87,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3658536585365857,0.04634146341463415,j3-9-12-20m,1.0,900.0,,,,,,,
6887,j,3-9-14-18,2005-07-05,m,73.0,81.0,45.0,13.2,w29t,on 2 triple rock,335,new,painted,T shed; Bss,05-18,2005.0,45.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.1095890410958904,0.1808219178082192,j3-9-14-18m,1.0,1201.0,,,,,,,
7291,j,3-9-14-18,2007-07-16,f,39.0,53.0,0.0,1.8,y>a,SB @ middle island,150,new,yes,,07-90,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.358974358974359,0.04615384615384616,j3-9-14-18f,1.0,1352.0,,,,,,,
6889,j,3-9-14-20,2005-07-06,f,64.0,56.0,42.0,7.0,w34c,Rs opp oakR,418,new,painted,loose scales T and throat; shed rec; Eu&Pt present,,2005.0,42.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.875,0.109375,j3-9-14-20f,1.0,1332.0,,,,,,,
7292,j,3-9-14-20,2007-07-16,m,41.0,55.0,0.0,2.0,y>b,lizard R,133,new,yes,break @ 20&25 that may fall off resulting from capture,07-91,2007.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3414634146341464,0.04878048780487805,j3-9-14-20m,1.0,1273.0,,,,,,,
6895,j,3-9-15-20,2005-07-07,f,60.0,44.0,29.0,7.2,w43c,3m up (rt side) wall at juniper xing (around corner from H),115,new,painted,T rec shed; slight Bss,05-31,2005.0,29.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.7333333333333333,0.12,j3-9-15-20f,2.0,448.0,,,,,,,
6897,j,3-9-15-20,2005-07-08,m,62.0,93.0,0.0,8.4,w45t,Rs 2m^ downed juniper,222,new,painted,Tshed; Bss, 05-35,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.5,0.13548387096774195,j3-9-15-20m,1.0,1337.0,,,,,,,
5962,j,4,2001-07-12,f,65.0,92.0,0.0,8.0,r28a,R wall left S curve,280,,,,,2001.0,0.0,False,recap ?,,True,False,False,True,False,False,False,False,False,False,False,False,1.4153846153846157,0.12307692307692307,j4f,2.0,387.0,,,,,,,
7788,j,4,2013-07-03,m,68.0,90.0,0.0,8.0,o5c,streambed bottom island,142,,yes,natural toe loss?,,2013.0,0.0,False,recap?,,True,False,False,True,False,True,False,False,False,False,False,False,1.3235294117647058,0.1176470588235294,j4m,1.0,1156.0,,,,,,,
6090,j,4-10-14-18,2002-07-03,m,66.0,69.0,50.0,8.6,b3c,sb 20m ^ 1 falls,20,new,painted; shed recently; rnuchal 5(3y2r); r adj scales 6; lnchal 8(5y3r); l adj scales 6,,toes in vial 33-02 (4-10-14-18),2002.0,50.0,True,new,,True,False,True,False,False,False,False,False,False,False,False,False,1.0454545454545454,0.1303030303030303,j4-10-14-18m,3.0,165.0,,,,,,,
6335,j,4-10-14-18,2002-07-08,f,56.0,75.0,0.0,4.8,b37ct,3m ^ chute on right,365,recap,"painted; t shed, b ss; old marking of y74a still visible",,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.3392857142857142,0.08571428571428573,j4-10-14-18f,4.0,94.0,,,,,,,
6104,j,4-10-14-19,2002-07-03,f,60.0,75.0,0.0,5.8,b7c,curved wall v cave trail,43,new,painted; salmon tail t to shed soon,,toes in vial 32-02 (4-10-14-19),2002.0,0.0,False,new,,True,False,True,False,False,False,False,False,False,False,False,False,1.25,0.09666666666666666,j4-10-14-19f,6.0,27.0,,,,,,,
6347,j,4-10-14-19,2002-07-09,m,70.0,85.0,1.0,9.2,b39c,3m v pool,377,recap,"r 2, >10",,,2002.0,1.0,True,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.2142857142857142,0.13142857142857142,j4-10-14-19m,2.0,339.0,,,,,,,
7002,j,4-7-11-16,2006-05-20,f,61.0,61.0,26.0,8.0,w10b.t,Rs-rt-side-H3,177,new,painted,,07-06,2006.0,26.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.13114754098360654,j4-7-11-16f,1.0,1349.0,,,,,,,
7139,j,4-7-11-16,2007-07-05,m,83.0,111.0,0.0,20.5,y6c,slab,262,recap,yes,slight SS,,2007.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3373493975903614,0.2469879518072289,j4-7-11-16m,1.0,1221.0,,,,,,,
7035,j,4-7-14-19,2006-05-23,f,60.0,84.0,0.0,6.2,w41b,Lwall-3m-v-pool,377,new,painted,,-39-06,2006.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4,0.10333333333333332,j4-7-14-19f,1.0,1340.0,,,,,,,
8048,j,4-7-14-19,2015-07-20,m,78.0,96.0,25.0,15.0,w20c by mistake,Lwall sb,17,recap,repainted,"should have painted ""w20a""; shed since last capture a couple of weeks ago",,2015.0,25.0,True,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.2307692307692308,0.19230769230769232,j4-7-14-19m,1.0,1590.0,,,,,,,
7686,j,5-11-16,2012-05-24,f,62.0,85.0,0.0,8.4,w1c,5m^bottom site,,new,yes,,12-01,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3709677419354838,0.13548387096774195,j5-11-16f,3.0,227.0,,,,,,,
7877,j,5-11-16,2014-07-03,m,72.0,102.0,0.0,12.3,03c,left wall 5 ^ 1 fall,5,new,yes,Tail Shed; Bss,14-02,2014.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4166666666666667,0.17083333333333334,j5-11-16m,2.0,352.0,,,,,,,
7690,j,5-11-18,2012-05-24,f,62.0,86.0,0.0,7.6,w3c,T top R island,,new,yes,TOES CHANGED on 10 June 2012: from 5-11-18 to 5-6-11-18,12-03,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3870967741935485,0.12258064516129033,j5-11-18f,2.0,484.0,,,,,,,
7903,j,5-11-18,2014-07-03,m,85.0,73.0,56.0,19.5,o5c,black r,171,new,yes,,14-04,2014.0,56.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.8588235294117647,0.22941176470588234,j5-11-18m,1.0,888.0,,,,,,,
7694,j,5-11-20,2012-05-24,m,77.0,105.0,0.0,16.6,w7c,top CCC,,new,yes,,12-05,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3636363636363635,0.2155844155844156,j5-11-20m,1.0,1310.0,,,,,,,
7915,j,5-11-20,2014-07-03,f,67.0,87.0,0.0,8.2,o7c,slab,262,new,yes,B shed; Tss,14-06,2014.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2985074626865671,0.12238805970149252,j5-11-20f,3.0,246.0,,,,,,,
7710,j,5-13-16,2012-05-25,m,83.0,32.0,14.0,18.0,w19t,R outcrop leftside v talus v 2nd triple rock,,new,yes,Bss T shed; loose scales on T,12-15,2012.0,14.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.3855421686746988,0.21686746987951808,j5-13-16m,1.0,690.0,,,,,,,
7934,j,5-13-16,2014-07-03,f,75.0,100.0,0.0,11.0,o14c,2 falls,390,new,yes,Btrec shed,14-09,2014.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,0.14666666666666667,j5-13-16f,1.0,730.0,,,,,,,
7711,j,5-13-17,2012-05-25,f,66.0,86.0,0.0,8.0,w20c,10m v chute,,new,yes,,12-16,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.303030303030303,0.12121212121212123,j5-13-17f,4.0,98.0,,,,,,,
7836,j,5-13-17,2013-07-07,m,85.0,122.0,0.0,,o43t,left wall,27,recap,yes,BSS;T shed,,2013.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.4352941176470588,,j5-13-17m,1.0,1519.0,,,,,,,
7733,j,5-15-18,2012-05-29,m,79.0,102.0,0.0,17.0,w40c,slab,,new,yes,BT rec shed,12-37,2012.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2911392405063291,0.21518987341772156,j5-15-18m,2.0,386.0,,,,,,,
7899,j,5-15-18,2014-07-04,f,67.0,67.0,42.0,8.9,o19c,left sb mid island,150,new,yes,,14-16,2014.0,42.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.0,0.1328358208955224,j5-15-18f,1.0,703.0,,,,,,,
157,j,5-15-19,2000-07-09,m,88.0,120.0,0.0,18.4,w=c,5m ^ root xing,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3636363636363635,0.20909090909090908,j5-15-19m,2.0,555.0,,,,,,,
7736,j,5-15-19,2014-07-04,f,70.0,98.0,0.0,10.7,o20c,sb @ Black R,171,new,yes,Brec shed; Tss,14-17,2014.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4,0.15285714285714286,j5-15-19f,3.0,205.0,,,,,,,
107,j,5-15-20,2000-07-07,f,76.0,50.0,34.0,12.6,r48cw||t,slab,,,,,,2000.0,34.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,0.6578947368421053,0.16578947368421051,j5-15-20f,4.0,69.0,,,,,,,
7768,j,5-15-20,2012-06-03,m,76.0,104.0,0.0,14.5,w47c,top curved wall,,,,displaying w w25c,12-43,2012.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.368421052631579,0.19078947368421054,j5-15-20m,1.0,835.0,,,,,,,
