,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,new.recap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl
1765,j,,2002-06-09,,,,,,y27a,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1766,j,,2002-07-03,,,,,,?,2tripleR,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1767,j,,2002-07-05,,,,,,b24c,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1768,j,,2002-07-06,,,,,,b24c,Log in sb opp 2 triple R,335,,"l .1, .1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1769,j,,2002-07-08,,,,,,b24c,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1770,j,,2002-07-08,,,,,,b24c,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1771,j,,2002-07-11,,,,,,juv,litter opposite 2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1772,j,,2002-07-11,,,,,,b24c,2 triple R,335,,"r .5, 1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1773,j,,2002-07-11,,,,,,b24c,2 triple R,335,,"r .1, 1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1774,j,,2002-07-12,,,,,,b45c,R in sb @ 2 triple R,335,,"r .3, .3",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1775,j,,2002-07-12,,,,,,b24c,2 triple R,335,,"r .7, 1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1776,j,,2002-07-13,,,,,,b24c,L on left side @ 2 triple R,335,,"l .2, .05",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1778,v,,2002-04-20,,,,,,y47b,2 triple R in sb,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1779,v,,2002-04-27,,,,,,y47b,2 triple R in sb,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1780,v,,2002-04-28,,,,,,y47b,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1781,v,,2002-05-26,,,,,,y47b,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1782,v,,2002-06-09,,,,,,y47b,2 triple R,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1783,v,,2002-06-17,,,,,,y47b,2 triple R on right side,335,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1784,j,,2002-07-17,,,,,,b51c,talus @ sb halfway between 2 triple R and R outcrop,336,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1785,j,,2002-07-17,,,,,,b45c,talus @ sb halfway between 2 triple R and R outcrop,336,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1787,j,,2002-07-13,,,,,,b44c,Rs in sb 2m ^ 2 triple R,337,,"r .1, .1",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1791,j,,2002-04-11,,,,,,y14a,3m ^ 2 triple R,338,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1792,j,,2002-04-14,,,,,,y14a,3m ^ 2 triple R,338,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1793,j,,2002-04-27,,,,,,y14a,3m ^ 2 triple R in sb,338,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1794,j,,2002-04-11,,,,,,y54a,4m ^ 2 triple R on right,339,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1795,j,,2002-04-28,,,,,,y14a,4m ^ 2 triple R,339,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1797,v,,2002-07-11,,,,,,w21a,T ^ Rs opp wall v chute,340,,"t .3, .2",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1798,j,,2002-03-31,,,,,,y46a,4m v base of chute,346,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1799,j,,2002-05-07,,,,,,w71a,4m v chute,346,,charged and attacked noose,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
