,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
5993,j,2-7-12-16,2001-07-15,f,42.0,57.0,0.0,2.5,r47a,sb base slab,262,new,,,toes in vial 01-53,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3571428571428572,0.05952380952380953,j2-7-12-16f,5.0,47.0,,,,,,,
203,j,1-9-12-19,2000-07-09,f,63.0,69.0,5.0,9.4,r98c,wall 5m v cave trail,,,,,,2000.0,5.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,1.0952380952380951,0.1492063492063492,j1-9-12-19f,5.0,48.0,,,,,,,
314,j,1-9-13-19,2000-07-05,f,59.0,78.0,0.0,6.2,w45a,sb 3m v slab,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.3220338983050848,0.10508474576271187,j1-9-13-19f,5.0,49.0,,,,,,,
6713,j,3-8-12-20,2004-07-04,f,67.0,87.0,0.0,8.1,wOc,H4,194,new,painted,few mites,04 36,2004.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2985074626865671,0.1208955223880597,j3-8-12-20f,5.0,50.0,,,,,,,
2,j,1-13-19,2000-06-24,f,63.0,93.0,0.0,6.7,o11a,halfway between 1 falls and cave trail,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.4761904761904765,0.10634920634920636,j1-13-19f,5.0,51.0,,,,,,,
7563,j,1-7-14-19,2009-07-19,m,46.0,10.0,2.0,2.7,yxxa,2m ^ oakR,420,recap,repainted,thought new and accicentally clipped tip of toe 1 again,,2009.0,2.0,True,recap,,True,False,True,False,False,False,False,False,False,False,False,False,0.21739130434782608,0.05869565217391305,j1-7-14-19m,4.0,52.0,,,,,,,
5958,j,2-6-11-17,2001-07-12,m,39.0,59.0,0.0,1.8,r23a,island,156,new,,,toes in vial 01-42,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.5128205128205128,0.04615384615384616,j2-6-11-17m,4.0,53.0,,,,,,,
6573,j,2-8-13-19,2003-07-10,m,34.0,21.0,8.0,1.0,o+a.c,R w/ oak,445,new,,,toes 03-82,2003.0,8.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.6176470588235294,0.029411764705882356,j2-8-13-19m,4.0,55.0,,,,,,,
305,j,5-10-11-18,2000-07-04,f,70.0,98.0,0.0,12.8,w63t,T 3m ^ left of flat R in sb,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.4,0.18285714285714288,j5-10-11-18f,4.0,56.0,,,,,,,
5935,j,1-7-13-19,2001-07-11,f,68.0,88.0,0.0,11.0,y^|a,sb @ junper xing,115,recap,,,shed since,2001.0,0.0,False,recap,,True,False,False,False,False,False,True,False,False,False,False,False,1.2941176470588236,0.16176470588235295,j1-7-13-19f,4.0,57.0,,,,,,,
6353,j,4-10-12-20,2002-07-11,f,61.0,83.0,0.0,6.0,b47c,sb @ pine R,408,recap,"g -, -; painted; old marking of y54a visible; some loose scales; t shed recently",,,2002.0,0.0,False,recap,,True,False,True,False,False,False,False,False,False,False,False,False,1.360655737704918,0.09836065573770493,j4-10-12-20f,4.0,58.0,,,,,,,
7703,j,5-12-19,2012-05-24,f,62.0,85.0,0.0,5.7,w13c,bottom R wall v cave tunnel,,recap,yes,,,2012.0,0.0,False,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.3709677419354838,0.09193548387096774,j5-12-19f,4.0,59.0,,,,,,,
6883,j,3-9-14-16,2005-07-05,m,68.0,88.0,0.0,10.3,w27a,top curved wall,38,new,painted,Tss; B shed rec,05-17,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.2941176470588236,0.15147058823529413,j3-9-14-16m,4.0,61.0,,,,,,,
7706,j,5-12-20,2012-05-25,f,69.0,63.0,29.0,7.0,w17c,opp cave creek trail in sb,,new,yes,,12-14,2012.0,29.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.9130434782608696,0.10144927536231883,j5-12-20f,4.0,62.0,,,,,,,
6596,j,2-8-14-20,2003-07-15,m,35.0,12.0,0.0,1.1,oOa.t,left R wall 2m ^ 1falls,2,new,painted,lost part of tail,toes 03-89,2003.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,0.3428571428571429,0.03142857142857143,j2-8-14-20m,4.0,63.0,,,,,,,
