,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
40,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,pool v 2falls,5.6,NA,NA,new,new,r41c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,53,69,8-14-19,NA,2000
41,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp slab,7.6,NA,shed since last recapture,recap,recap,r42,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,61,76,2-14-17,NA,2000
42,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10m v wall on rt v cave trail,9.8,NA,NA,new,new,r43c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,f,NA,j,70,78,8-14-20,NA,2000
43,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wall v cave trail,7.7,NA,shed since last recapture,recap,recap,r44c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,65,90,1-13-18,NA,2000
44,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1m v lizard R,9,NA,shed since last recapture,recap,recap,r45c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2,2,f,NA,j,67,70,5-10-11-20,NA,2000
45,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at slab,9,NA,shed since last recapture,recap,recap,r46c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,67,91,2-14-19,NA,2000
46,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at slab,12.5,NA,shed since last recapture,recap,recap,r47c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,70,98,5-8-12-20,NA,2000
47,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sb at slab,11.3,NA,not fully shed since last recapture [o.t mark still visible; added r48c!],recap,recap,r48c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,27,27,f,NA,j,73,42,5-15-20,NA,2000
48,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp 2tripleR,3.2,NA,shed since last recapture [slight break on T at 22],recap,recap,r49c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,51,67,4-6-15-20,NA,2000
49,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,chute,4.4,NA,NA,new,new,r50c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,53,74,8-15-19,NA,2000
