,autotomized,date,location,mass,meters,misc,new.recap,paint.mark,painted,rtl,sex,sighting,species,svl,tl,toes,vial,year,tl_svl,mass_svl,age_class,myDrop,dropReason
14,FALSE,2000-03-17T00:00:00Z,T crossing sb at CC/CCC,7.0,,shed since last recapture,recap,r15c,NA,0.0,f,NA,j,60.0,76.0,1-11-19,NA,2000,1.2666666666666666,0.11666666666666667,adult,,
15,FALSE,2000-03-17T00:00:00Z,CC/CCC,14.2,,shed since last recapture,recap,r16c,NA,0.0,m,NA,j,82.0,118.0,5-7-12-16,NA,2000,1.4390243902439024,0.17317073170731706,adult,,
16,FALSE,2000-03-17T00:00:00Z,slab,11.5,,shed since last recapture,recap,r17c,NA,0.0,m,NA,j,75.0,99.0,5-9-15-18,NA,2000,1.32,0.15333333333333332,adult,,
17,FALSE,2000-03-17T00:00:00Z,Rs opp slab,5.0,,shed since last recapture,recap,r18c,NA,0.0,f,NA,j,53.0,69.0,1-13-19,NA,2000,1.3018867924528301,0.09433962264150944,juvenile,,
18,FALSE,2000-03-17T00:00:00Z,Rs opp slab,9.8,,NA,new,r19c,NA,0.0,m,NA,j,72.0,101.0,9-12-19,NA,2000,1.4027777777777777,0.13611111111111113,adult,,
19,FALSE,2000-03-17T00:00:00Z,3m v oakR opp side from pine R,6.4,,NA,new,r20c,NA,0.0,f,NA,j,56.0,74.0,9-12-20,NA,2000,1.3214285714285714,0.1142857142857143,adult,,
20,FALSE,2000-03-17T00:00:00Z,Rs opp pineR,5.5,,NA,new,r22c,NA,0.0,f,NA,j,50.0,71.0,9-13-19,NA,2000,1.42,0.11,juvenile,,
21,FALSE,2000-03-17T00:00:00Z,Rs opp pineR,9.8,,shed since last recapture,recap,r21c,NA,0.0,f,NA,j,67.0,88.0,5-6-13-20,NA,2000,1.3134328358208955,0.14626865671641792,adult,,
22,FALSE,2000-03-17T00:00:00Z,Rs opp pineR,6.6,,NA,new,r23c,NA,0.0,m,NA,j,62.0,85.0,9-13-20,NA,2000,1.3709677419354838,0.1064516129032258,adult,,
23,FALSE,2000-03-17T00:00:00Z,Rs opp pineR,8.5,,NA,new,r24c,NA,0.0,m,NA,j,70.0,98.0,9-14-19,NA,2000,1.4,0.12142857142857143,adult,,
24,TRUE,2000-03-17T00:00:00Z,2falls,7.3,,NA,new,r25c,NA,25.0,m,NA,j,64.0,74.0,9-14-20,NA,2000,1.15625,0.1140625,adult,,
25,TRUE,2000-03-17T00:00:00Z,H5,14.3,,not shed since last recapture (added r26c to the existing mark o.t),recap,o.t/r26c,NA,20.0,f,NA,j,78.0,77.0,4-14-20,NA,2000,0.9871794871794872,0.18333333333333335,adult,,
26,FALSE,2000-03-18T00:00:00Z,wall at H5,6.5,,"shed since last recapture; marked originally as 1-13-16 on 9VII99, remarked as 1-9-13-16 on 19III00",recap,r27c,NA,0.0,f,NA,j,50.0,76.0,1-9-13-16,NA,2000,1.52,0.13,juvenile,,
27,FALSE,2000-03-18T00:00:00Z,CC/CCC,3.8,,NA,new,r28c,NA,0.0,f,NA,j,50.0,72.0,9-15-19,NA,2000,1.44,0.076,juvenile,,
28,TRUE,2000-03-18T00:00:00Z,CC/CCC,18.2,,shed since last recapture,recap,r29c,NA,29.0,m,NA,j,84.0,45.0,1-7,NA,2000,0.5357142857142857,0.21666666666666665,adult,,
29,FALSE,2000-03-18T00:00:00Z,big stump just above CC/CCC,3.8,,NA,new,r30c,NA,0.0,f,NA,j,51.0,65.0,9-15-20,NA,2000,1.2745098039215685,0.07450980392156863,juvenile,,
30,TRUE,2000-03-18T00:00:00Z,big stump just above CC/CCC,10.2,,shed since last recapture,recap,r31c,NA,41.0,f,NA,j,66.0,67.0,5-9-11-18,NA,2000,1.0151515151515151,0.15454545454545454,adult,,
31,FALSE,2000-03-18T00:00:00Z,5m^wall from sb10m^slab,8.0,,NA,new,r32c,NA,0.0,m,NA,j,64.0,91.0,8-11-19,NA,2000,1.421875,0.125,adult,,
32,FALSE,2000-03-18T00:00:00Z,5m^wall from sb10m^slab,5.8,,toe13 may be a natural loss; doesn't match up with past records,?,r33c,NA,0.0,f,NA,j,55.0,72.0,,NA,2000,1.309090909090909,0.10545454545454545,juvenile,,
33,FALSE,2000-03-18T00:00:00Z,2m^ 1 tripleR,10.0,,shed since last recapture,recap,r34c,NA,0.0,f,NA,j,68.0,94.0,5-7-13-18,NA,2000,1.3823529411764706,0.14705882352941177,adult,,
34,FALSE,2000-03-18T00:00:00Z,Rs opp 2tripleR,4.5,,NA,new,r35c,NA,0.0,m,NA,j,56.0,70.0,8-11-20,NA,2000,1.25,0.08035714285714286,adult,,
35,FALSE,2000-03-18T00:00:00Z,3m^chute on Rs,3.7,,shed since last recapture,recap,r36c,NA,0.0,f,NA,j,50.0,68.0,1-12-18,NA,2000,1.36,0.07400000000000001,juvenile,,
